GEOID,median_income
060730001001,199643.0
060730001002,174375.0
060730002011,159250.0
060730002012,90658.0
060730002021,49727.0
060730002022,116150.0
060730002023,134450.0
060730002024,105329.0
060730003011,93512.0
060730003012,115030.0
060730003013,83056.0
060730003021,76975.0
060730003022,111107.0
060730004001,85179.0
060730004002,131625.0
060730004003,85019.0
060730004004,86445.0
060730005001,88333.0
060730005002,92371.0
060730005003,104886.0
060730006001,96771.0
060730006002,111467.0
060730006003,82344.0
060730007001,89742.0
060730007002,111504.0
060730007003,56890.0
060730008001,107330.0
060730008002,203625.0
060730008003,114231.0
060730008004,55991.0
060730008005,67162.0
060730009011,105867.0
060730009012,93207.0
060730009013,89712.0
060730009021,23494.0
060730009022,102946.0
060730009023,67054.0
060730010001,105294.0
060730010002,84971.0
060730010003,63909.0
060730010004,75375.0
060730011001,91063.0
060730011002,90492.0
060730011003,92750.0
060730012011,117763.0
060730012012,63240.0
060730012021,89450.0
060730012022,98799.0
060730013011,74519.0
060730013012,108990.0
060730013021,89808.0
060730013022,73750.0
060730013023,89818.0
060730014001,95250.0
060730014002,162750.0
060730014003,79811.0
060730015001,75395.0
060730015002,117625.0
060730015003,99402.0
060730015004,86466.0
060730016001,54922.0
060730016002,79983.0
060730016003,21550.0
060730016004,67411.0
060730017001,62167.0
060730017002,110561.0
060730017003,83601.0
060730017004,76402.0
060730018011,72969.0
060730018012,64101.0
060730018021,-666666666.0
060730018022,76234.0
060730018023,118060.0
060730018024,82813.0
060730019001,122978.0
060730019002,137000.0
060730019003,88875.0
060730020011,172148.0
060730020012,205357.0
060730020013,149107.0
060730020021,183375.0
060730020022,157992.0
060730021001,104583.0
060730021002,-666666666.0
060730021003,65938.0
060730021004,65946.0
060730021005,91146.0
060730022011,21819.0
060730022012,63086.0
060730022021,45000.0
060730022022,48900.0
060730022023,77500.0
060730023011,73462.0
060730023012,73635.0
060730023013,73092.0
060730023021,29588.0
060730023022,-666666666.0
060730023023,-666666666.0
060730024011,61078.0
060730024012,72270.0
060730024013,75268.0
060730024021,46250.0
060730024022,28241.0
060730024023,56779.0
060730025011,85052.0
060730025012,59205.0
060730025013,49265.0
060730025021,102292.0
060730025022,85368.0
060730025023,81281.0
060730025024,87961.0
060730026011,75224.0
060730026012,58750.0
060730026013,-666666666.0
060730026014,45208.0
060730026021,75170.0
060730026022,69145.0
060730026023,32991.0
060730027021,71957.0
060730027022,119094.0
060730027023,60400.0
060730027031,57059.0
060730027032,99000.0
060730027033,64107.0
060730027034,87115.0
060730027051,81212.0
060730027052,36185.0
060730027071,26496.0
060730027072,38536.0
060730027073,-666666666.0
060730027074,-666666666.0
060730027081,23516.0
060730027082,-666666666.0
060730027083,31722.0
060730027084,63207.0
060730027091,33958.0
060730027092,51333.0
060730027101,61659.0
060730027102,34643.0
060730027103,98409.0
060730027111,64929.0
060730027112,78500.0
060730027121,60313.0
060730027122,114744.0
060730027123,45792.0
060730028011,128472.0
060730028012,-666666666.0
060730028031,39175.0
060730028032,88750.0
060730028033,135306.0
060730028034,99784.0
060730028041,83250.0
060730028042,127697.0
060730028043,75268.0
060730029021,113036.0
060730029022,60463.0
060730029023,63068.0
060730029031,70341.0
060730029032,85795.0
060730029033,88925.0
060730029041,-666666666.0
060730029042,39641.0
060730029043,-666666666.0
060730029044,38000.0
060730029045,33993.0
060730029051,49938.0
060730029052,-666666666.0
060730029053,109191.0
060730030011,135842.0
060730030012,56071.0
060730030013,93750.0
060730030031,79767.0
060730030032,74750.0
060730030033,67407.0
060730030034,100729.0
060730030041,62170.0
060730030042,70625.0
060730031011,97660.0
060730031012,70833.0
060730031013,105912.0
060730031031,87658.0
060730031032,82125.0
060730031033,73958.0
060730031051,103919.0
060730031052,76595.0
060730031071,89479.0
060730031072,100737.0
060730031073,57784.0
060730031081,109261.0
060730031082,126667.0
060730031091,128750.0
060730031092,133092.0
060730031093,92679.0
060730031111,31744.0
060730031112,34299.0
060730031113,99875.0
060730031121,102684.0
060730031122,69762.0
060730031123,101944.0
060730031131,92000.0
060730031132,116163.0
060730031141,104837.0
060730031142,105583.0
060730031151,32514.0
060730031152,102188.0
060730031153,97386.0
060730031154,110617.0
060730032011,136492.0
060730032012,105655.0
060730032013,68079.0
060730032014,54628.0
060730032021,77426.0
060730032022,86405.0
060730032041,112000.0
060730032042,59297.0
060730032071,114551.0
060730032072,111458.0
060730032073,113071.0
060730032081,-666666666.0
060730032082,96350.0
060730032083,47366.0
060730032084,126023.0
060730032085,81528.0
060730032091,76163.0
060730032092,79950.0
060730032093,103750.0
060730032111,100854.0
060730032112,80938.0
060730032121,86563.0
060730032122,82784.0
060730032131,111607.0
060730032132,128375.0
060730032141,66000.0
060730032142,75298.0
060730032143,112457.0
060730033011,65813.0
060730033012,70469.0
060730033031,55850.0
060730033032,56775.0
060730033041,54148.0
060730033042,42774.0
060730033051,35199.0
060730033052,53750.0
060730033053,64275.0
060730034011,70346.0
060730034012,-666666666.0
060730034013,50625.0
060730034014,72790.0
060730034031,90250.0
060730034032,72240.0
060730034033,67773.0
060730034041,71693.0
060730034042,70380.0
060730034043,65769.0
060730035011,67841.0
060730035012,45577.0
060730035013,34070.0
060730035021,-666666666.0
060730035022,36328.0
060730035023,86054.0
060730036011,91602.0
060730036012,74091.0
060730036021,62500.0
060730036022,61603.0
060730036031,62454.0
060730036032,66417.0
060730036033,64097.0
060730038001,-666666666.0
060730039011,62736.0
060730039012,91932.0
060730039013,52708.0
060730039021,-666666666.0
060730039022,68942.0
060730039023,62833.0
060730039024,-666666666.0
060730040001,66739.0
060730040002,43542.0
060730040003,41382.0
060730040004,71111.0
060730041011,126377.0
060730041012,88787.0
060730041013,-666666666.0
060730041021,60556.0
060730042001,86875.0
060730042002,153558.0
060730042003,130119.0
060730042004,179375.0
060730043001,121250.0
060730043002,85688.0
060730043003,79974.0
060730044001,111389.0
060730044002,68182.0
060730044003,-666666666.0
060730044004,119444.0
060730045011,74661.0
060730045012,90590.0
060730045013,63688.0
060730046001,77675.0
060730046002,74000.0
060730047001,70266.0
060730047002,61682.0
060730048001,68125.0
060730048002,58664.0
060730048003,45958.0
060730049001,51250.0
060730049002,29536.0
060730049003,56129.0
