GEOID,population
060730001001,991.0
060730001002,1755.0
060730002011,1087.0
060730002012,1289.0
060730002021,1230.0
060730002022,866.0
060730002023,1200.0
060730002024,723.0
060730003011,784.0
060730003012,707.0
060730003013,996.0
060730003021,2097.0
060730003022,828.0
060730004001,755.0
060730004002,1104.0
060730004003,1056.0
060730004004,1164.0
060730005001,1013.0
060730005002,942.0
060730005003,873.0
060730006001,727.0
060730006002,1019.0
060730006003,1365.0
060730007001,1329.0
060730007002,2078.0
060730007003,964.0
060730008001,768.0
060730008002,507.0
060730008003,1616.0
060730008004,1266.0
060730008005,948.0
060730009011,2187.0
060730009012,985.0
060730009013,779.0
060730009021,959.0
060730009022,723.0
060730009023,979.0
060730010001,1002.0
060730010002,977.0
060730010003,1232.0
060730010004,1411.0
060730011001,1121.0
060730011002,1175.0
060730011003,643.0
060730012011,1570.0
060730012012,720.0
060730012021,1413.0
060730012022,1553.0
060730013011,950.0
060730013012,1763.0
060730013021,1332.0
060730013022,1161.0
060730013023,752.0
060730014001,552.0
060730014002,911.0
060730014003,1878.0
060730015001,718.0
060730015002,968.0
060730015003,983.0
060730015004,1265.0
060730016001,1034.0
060730016002,1719.0
060730016003,1062.0
060730016004,1250.0
060730017001,1304.0
060730017002,1588.0
060730017003,1673.0
060730017004,281.0
060730018011,402.0
060730018012,1403.0
060730018021,653.0
060730018022,714.0
060730018023,1054.0
060730018024,827.0
060730019001,904.0
060730019002,1791.0
060730019003,648.0
060730020011,1050.0
060730020012,1737.0
060730020013,779.0
060730020021,1020.0
060730020022,1606.0
060730021001,822.0
060730021002,1042.0
060730021003,1022.0
060730021004,1270.0
060730021005,1639.0
060730022011,1792.0
060730022012,1353.0
060730022021,1937.0
060730022022,1951.0
060730022023,937.0
060730023011,1570.0
060730023012,811.0
060730023013,809.0
060730023021,2620.0
060730023022,1774.0
060730023023,1488.0
060730024011,657.0
060730024012,1687.0
060730024013,1970.0
060730024021,1969.0
060730024022,1443.0
060730024023,1539.0
060730025011,1787.0
060730025012,1003.0
060730025013,2088.0
060730025021,3096.0
060730025022,1274.0
060730025023,1047.0
060730025024,1515.0
060730026011,1787.0
060730026012,1538.0
060730026013,341.0
060730026014,2328.0
060730026021,1781.0
060730026022,1084.0
060730026023,1790.0
060730027021,1294.0
060730027022,1567.0
060730027023,2698.0
060730027031,1382.0
060730027032,639.0
060730027033,1963.0
060730027034,3098.0
060730027051,2278.0
060730027052,2478.0
060730027071,1188.0
060730027072,1142.0
060730027073,1468.0
060730027074,1182.0
060730027081,1155.0
060730027082,153.0
060730027083,1733.0
060730027084,1748.0
060730027091,2538.0
060730027092,1262.0
060730027101,1284.0
060730027102,1541.0
060730027103,1096.0
060730027111,2308.0
060730027112,1464.0
060730027121,1324.0
060730027122,1549.0
060730027123,2693.0
060730028011,2460.0
060730028012,2017.0
060730028031,1607.0
060730028032,999.0
060730028033,870.0
060730028034,1731.0
060730028041,2132.0
060730028042,2411.0
060730028043,998.0
060730029021,3029.0
060730029022,1851.0
060730029023,1099.0
060730029031,1989.0
